seed_id,number_unique_template_bootstrap,pattern_by_example,pattern_by_example-novel
1,6,20,18
2,4,11,8
3,7,17,14
4,8,20,17
5,8,21,17
6,10,18,13
7,10,19,15
8,14,20,14
9,20,21,19
10,11,19,16
11,12,17,12
12,3,14,14
13,4,15,13
14,4,12,10
15,16,22,16
16,11,20,13
17,13,21,16
18,12,21,16
19,9,23,19
20,14,20,15
22,16,20,15
23,6,20,16
24,12,20,16
25,10,20,18
26,11,18,13
27,7,22,18
28,7,18,12
29,10,21,19
30,14,20,16
31,14,19,14
32,5,20,18
33,8,23,20
34,14,13,10
35,11,19,13
36,10,22,16
37,6,11,8
38,16,19,12
39,12,22,18
41,15,21,15
42,12,18,11
43,21,15,11
44,9,20,17
45,13,20,13
46,11,21,17
47,10,18,11
48,12,22,18
49,6,18,18
50,15,20,19
51,16,21,18
21,13,20,13
40,2,15,14
