seed_id,number_unique_template_bootstrap,taboo_pattern,taboo_pattern-novel
1,6,16,14
2,4,5,1
3,7,16,13
4,8,16,12
5,8,18,15
6,10,17,15
7,10,21,17
8,14,17,11
9,20,22,19
10,11,15,8
11,12,15,7
12,3,15,14
13,4,11,8
14,4,13,11
15,16,17,7
16,11,22,15
17,13,19,16
18,12,20,14
19,9,20,15
20,14,22,20
22,16,17,13
23,6,19,15
24,12,21,16
25,10,22,17
26,11,16,11
27,7,21,17
28,7,18,18
29,10,17,10
30,14,24,21
31,14,23,17
32,5,16,13
33,8,21,17
34,14,21,15
35,11,22,16
36,10,20,15
37,6,18,14
38,16,20,15
39,12,21,16
41,15,22,15
42,12,20,14
43,21,23,19
44,9,15,12
45,13,19,14
46,11,15,9
47,10,20,15
48,12,15,9
49,6,17,14
50,15,22,19
51,16,17,14
21,13,19,13
40,2,15,14
