seed_id,intent,input_utterance,paraphrase_value,parameters,is_correct,source,bert_score,utterance_template,paraphrase_template,ted,duplicate,semantics
3,SearchWeb,Find most popular photos tagged #LOVE,Find photos tagged #LOVE,"[['Tag', '#LOVE']]",0,ParaQuality,0.553468,( S ( VP ( VB ) ( NP ) ) ),( S ( VP ( VB ) ( NP ) ) ),0.0,False,True
3,SearchWeb,Find most popular photos tagged #LOVE,Find popular photos tagged #LOVE,"[['Tag', '#LOVE']]",1,ParaQuality,0.64226884,( S ( VP ( VB ) ( NP ) ) ),( S ( VP ( VB ) ( NP ) ) ),0.0,False,True
3,SearchWeb,Find most popular photos tagged #LOVE,Discover most popular photos tagged #LOVE,"[['Tag', '#LOVE']]",1,ParaQuality,0.68977726,( S ( VP ( VB ) ( NP ) ) ),( S ( VP ( VB ) ( NP ) ) ),0.0,False,True
3,SearchWeb,Find most popular photos tagged #LOVE,Find for the most popular photos tagged #LOVE,"[['Tag', '#LOVE']]",0,ParaQuality,0.69908446,( S ( VP ( VB ) ( NP ) ) ),( S ( VP ( VB ) ( PP ) ) ),1.0,False,True
3,SearchWeb,Find most popular photos tagged #LOVE,Find for most popular photos tagged with #LOVE,"[['Tag', '#LOVE']]",0,ParaQuality,0.66016567,( S ( VP ( VB ) ( NP ) ) ),( S ( VP ( VB ) ( PP ) ) ),1.0,False,True
3,SearchWeb,Find most popular photos tagged #LOVE,Find most popular photos tagged with #LOVE,"[['Tag', '#LOVE']]",1,ParaQuality,0.6375301,( S ( VP ( VB ) ( NP ) ) ),( S ( VP ( VB ) ( NP ) ) ),0.0,False,True
3,SearchWeb,Find most popular photos tagged #LOVE,what are the most popular photos tagged #LOVE?,"[['Tag', '#LOVE']]",1,ParaQuality,0.54690135,( S ( VP ( VB ) ( NP ) ) ),( SBARQ ( WHNP ( WP ) ) ( SQ ( VP ) ) ( . ) ),6.0,False,True
3,SearchWeb,Find most popular photos tagged #LOVE,show me the most popular photos tagged #LOVE,"[['Tag', '#LOVE']]",1,ParaQuality,0.6170297,( S ( VP ( VB ) ( NP ) ) ),( S ( VP ( VB ) ( S ) ) ),1.0,False,True
3,SearchWeb,Find most popular photos tagged #LOVE,search most popular photos tagged #LOVE,"[['Tag', '#LOVE']]",1,ParaQuality,0.6894615,( S ( VP ( VB ) ( NP ) ) ),( NP ( NP ( VB ) ( ADJP ) ( NNS ) ) ( VP ( VBN ) ( NP ) ) ),6.0,False,True
3,SearchWeb,Find most popular photos tagged #LOVE,show most popular photos tagged #LOVE,"[['Tag', '#LOVE']]",1,ParaQuality,0.6943334,( S ( VP ( VB ) ( NP ) ) ),( S ( VP ( VB ) ( NP ) ) ),0.0,False,True
3,SearchWeb,Find most popular photos tagged #LOVE,give popular photos tagged #LOVE,"[['Tag', '#LOVE']]",0,ParaQuality,0.63884777,( S ( VP ( VB ) ( NP ) ) ),( S ( VP ( VB ) ( NP ) ) ),0.0,False,True
